#{"t_start": 1759396944.7330277, "env_id": "seals/MountainCar-v0"}
r,l,t
-200.0,200,0.422619
-200.0,200,1.300314
-200.0,200,2.166463
-200.0,200,2.415536
-200.0,200,2.659354
-200.0,200,2.901682
-200.0,200,3.144885
-200.0,200,3.385195
-200.0,200,3.630571
