#{"t_start": 1759396944.6789455, "env_id": "seals/MountainCar-v0"}
r,l,t
-200.0,200,0.476714
-200.0,200,1.354416
-200.0,200,2.220557
-200.0,200,2.469639
-200.0,200,2.713459
-200.0,200,2.955787
-200.0,200,3.198981
-200.0,200,3.439298
-200.0,200,3.684676
