#{"t_start": 1759396944.6185353, "env_id": "seals/MountainCar-v0"}
r,l,t
-200.0,200,0.537133
-200.0,200,1.414839
-200.0,200,2.280971
-200.0,200,2.530063
-200.0,200,2.773867
-200.0,200,3.016194
-200.0,200,3.259412
-200.0,200,3.499716
-200.0,200,3.745082
