#{"t_start": 1759397004.389657, "env_id": "seals/MountainCar-v0"}
r,l,t
-200.0,200,0.470696
-200.0,200,1.330406
-200.0,200,2.211194
-200.0,200,2.462038
-200.0,200,2.721977
-200.0,200,2.99876
-200.0,200,3.254184
-200.0,200,3.514211
-200.0,200,3.774974
